MessageId,MessageType,SBSSensorId,did,LocationId,ServerDid,ResourceName,ResourceType,SensorValue,AssestState,TimeSent,date,Timestamp1,idx,TimeDiff
0D68B8B6-803A-4A95-8E32-D27A0570C6CA,SubscribeData,99c0a58f-5b38-48bc-9a1e-dbaca32cb725,EUI64-0080E1030005592D,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:12 AM,47746,NULL
2F09D513-969D-49E0-8603-26F2C51616D5,SubscribeData,93510737-d1ba-4fc7-843b-b0086ca0911d,EUI64-0080E1030005E2A3,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isNoMotion,1.51006E+12,11/7/17,11/7/17 8:12 AM,64534,3
EE090399-B3CE-442D-A673-08E814A69095,SubscribeData,27ee3e57-3411-47ae-9b83-f3be91fc2866,EUI64-0080E10300055358,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isNoMotion,1.51006E+12,11/7/17,11/7/17 8:13 AM,43587,1
BCF371F9-F92E-4EDD-A557-BB89B80DBCBA,SubscribeData,e63db93a-c919-4bb4-b27b-95eeda52d298,EUI64-0080E1030005D0BF,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isNoMotion,1.51006E+12,11/7/17,11/7/17 8:13 AM,58557,3
35917196-354F-4B15-A90B-24EDE1E54D1F,SubscribeData,0d46c83d-cc3e-4f97-b866-be4d8c2097f7,EUI64-0080E1030005F378-4-Motion,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isNoMotion,1.51006E+12,11/7/17,11/7/17 8:13 AM,69538,1
B2568E36-BDCE-4C7E-B050-6EF9F604E671,SubscribeData,0d46c83d-cc3e-4f97-b866-be4d8c2097f7,EUI64-0080E1030005F378-4-Motion,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:14 AM,69539,NULL
58255858-8D91-46F1-AB33-5C7792228FF2,SubscribeData,c060cfeb-c00a-456e-841b-f8e336583160,EUI64-0080E1030005843E,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:14 AM,54743,NULL
693B023E-3BE2-4115-BECF-F1B32A27495E,SubscribeData,c235cf81-2d3c-4d1f-bb9f-7913bf09dcaa,EUI64-0080E1030005D9DD,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isNoMotion,1.51006E+12,11/7/17,11/7/17 8:14 AM,60673,3
975A53E1-B557-40FE-AE13-1CC95C8545D3,SubscribeData,c235cf81-2d3c-4d1f-bb9f-7913bf09dcaa,EUI64-0080E1030005D9DD,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:14 AM,60674,NULL
E5B38C2C-5ABA-4986-8702-A9C6431D7BC2,SubscribeData,0d46c83d-cc3e-4f97-b866-be4d8c2097f7,EUI64-0080E1030005F378-4-Motion,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isNoMotion,1.51006E+12,11/7/17,11/7/17 8:15 AM,69540,1
252625F7-3EDA-46D2-9E56-9D31D1C500ED,SubscribeData,93510737-d1ba-4fc7-843b-b0086ca0911d,EUI64-0080E1030005E2A3,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:15 AM,64535,NULL
53C0102F-6382-462E-B1D7-0D892CDE2007,SubscribeData,b79839d2-f8e6-4cf7-96eb-d3fbbe1795e5,EUI64-0080E10300054850,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:15 AM,36126,NULL
0AAE85BE-79B9-40C7-A42B-894E2A2DC595,SubscribeData,e63db93a-c919-4bb4-b27b-95eeda52d298,EUI64-0080E1030005D0BF,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:15 AM,58558,NULL
28F2E19E-A11B-4E55-8576-0BEFFE3D7CB0,SubscribeData,0d46c83d-cc3e-4f97-b866-be4d8c2097f7,EUI64-0080E1030005F378-4-Motion,31027,EUI64-509A4CFFFF425356,unitState,SampleAsset,NULL,isMotion,1.51006E+12,11/7/17,11/7/17 8:15 AM,69541,NULL
